"","age","m","lci","uci","year","Country","first.report"
"1","<=16",0.119402985074627,0.052984805943161,0.221785138439943,2013.9,"Fiji",2015.57
"2","<=16",0.223880597014925,0.131059345853591,0.342232846544334,2015.9,"Fiji",2015.57
"3","<=16",0.208955223880597,0.119211831404623,0.32566334879148,2017.4,"Fiji",2015.57
"4",">=17",0.0327868852459016,0.00900421717515311,0.0818207264337929,2013.9,"Fiji",2015.57
"5",">=17",0.245901639344262,0.172467016059523,0.332067078407663,2015.9,"Fiji",2015.57
"6",">=17",0.0737704918032787,0.034286271598728,0.135421900483309,2017.4,"Fiji",2015.57
"7","<=16",0.65546218487395,0.610856510390013,0.698122369334769,2014.4,"French Polynesia",2013.75
"8","<=16",0.636761487964989,0.590800943682962,0.680939175340163,2018.4,"French Polynesia",2013.75
"9",">=17",0.354166666666667,0.221605932911834,0.50543174456337,2014.3,"French Polynesia",2013.75
"10",">=17",0.212797619047619,0.182425964816599,0.245715574388495,2015.9,"French Polynesia",2013.75
"11",">=17",0.00843170320404722,0.00274325625837295,0.0195663533414939,2013.75,"French Polynesia",2013.75
